5832.81681400 -50.72783300
5833.25414800 -50.80790200
5834.23815000 -50.77185600
5834.67548400 -50.80950700
5835.33148500 -50.84124700
5835.65948600 -50.86509100
5835.87815300 -50.87786800
5839.04882600 -50.87524600
5839.48616000 -50.93406600
5839.92349400 -51.08976900
5841.56349700 -51.11556900
5843.96883500 -51.21411100
5844.95283700 -51.24633400
5846.26484000 -51.37067600
5846.81150700 -51.41823800
5847.03017400 -51.39297900
5850.20084700 -51.52122800
5850.31018100 -51.61422100
5850.63818100 -51.65068700
5851.62218300 -51.60604800
5852.05951700 -51.68724000
5852.49685200 -51.73129300
5852.82485200 -51.75911600
5852.93418600 -51.77291600
5855.66752400 -51.92892500
5856.32352600 -51.86214800
5856.76086000 -52.00408600
5857.85419500 -52.07544500
5861.24353500 -52.22815100
5861.46220200 -52.14754500
5861.57153600 -52.16825100
5861.89953600 -52.16690500
5862.00887000 -52.15831700
5862.66487100 -52.00421500
5862.99287200 -52.06421300
5863.10220500 -52.04226000
5863.64887300 -51.96177800
5863.86754000 -52.02794200
5864.08620700 -51.98126800
5866.81954600 -51.96581900
5866.92888000 -51.91987800
5868.02221500 -51.98056000
5869.22488400 -51.85374500
5869.77155200 -51.73692100
5872.28622300 -51.76986200
5872.61422400 -51.82467300
5873.16089200 -51.80000500
5873.27022500 -51.74142200
5873.59822600 -51.79896600
5873.70755900 -51.87340300
5873.92622600 -51.80390000
5874.25422700 -51.81691700
5874.36356100 -51.79831600
5874.58222800 -51.77245900
5874.69156100 -51.80111000
5874.80089500 -51.72699100
5875.01956200 -51.68224000
5875.23822900 -51.80712800
5877.97156800 -51.78708200
5878.73690200 -51.86875000
5879.28357000 -51.69751700
5880.92357300 -51.81263700
5884.31291300 -51.74893700
5884.42224700 -51.69208200
5884.64091400 -51.63474000
5885.07824800 -51.65182600
5885.51558200 -51.71994700
5885.62491600 -51.68089100
5885.84358300 -51.60178800
5886.28091700 -51.64390100
5889.12358900 -51.65581300
5889.67025700 -51.63036900
5889.99825800 -51.67912200
5890.65425900 -51.61748800
5891.09159300 -51.70891800
5891.41959400 -51.67576000
5892.18492800 -51.70609000
5892.29426200 -51.84418000
5894.59026600 -51.57011100
5895.79293500 -51.62085600
5896.55827000 -51.56466200
5896.88627100 -51.62787000
5897.21427200 -51.61680800
5897.76093900 -51.64154300
5897.97960600 -51.50835700
5900.93161200 -51.62741100
5901.25961300 -51.60663200
5901.80628000 -51.62161000
5901.91561400 -51.66388700
5902.24361500 -51.55346500
5902.35294800 -51.54007800
5902.46228200 -51.62645700
5902.79028200 -51.65193000
5903.44628400 -51.50839000
5903.55561700 -51.65890000
5906.17962200 -51.58073700
5906.39828900 -51.58760800
5906.50762300 -51.53875400
5907.92895900 -51.58646800
5908.14762600 -51.54738800
5908.36629300 -51.59904400
5908.58496000 -51.57293100
5911.42763200 -51.52822000
5911.64629900 -51.53528400
5911.75563300 -51.54596400
5911.86496700 -51.52158900
5912.08363400 -51.53185800
5912.19296700 -51.60938500
5912.63030100 -51.51278700
5913.28630300 -51.62994700
5913.94230400 -51.58760700
5914.27030500 -51.57369100
5914.37963800 -51.59913200
5914.48897200 -51.52833200
5914.81697200 -51.60576300
5918.20631200 -51.61142300
5918.31564600 -51.57675700
5918.75298000 -51.52641700
5919.19031400 -51.57061500
5919.29964800 -51.71753600
5919.40898100 -51.55096700
5919.73698200 -51.56425800
5919.95564900 -51.54825800
5920.06498200 -51.51914900
5920.17431600 -51.62966500
5922.79832100 -51.51826900
5923.01698800 -51.53312000
5924.00099000 -51.57490000
5924.65699100 -51.56602400
5924.98499200 -51.60462600
